# Format: DCGM field, Prometheus metric type, help string
# Utilization / memory
DCGM_FI_DEV_GPU_UTIL,                      gauge,   GPU utilization (in %).
DCGM_FI_DEV_MEM_COPY_UTIL,                 gauge,   Memory utilization (in %).
DCGM_FI_DEV_FB_USED,                       gauge,   Framebuffer memory used (in MiB).
DCGM_FI_DEV_FB_FREE,                       gauge,   Framebuffer memory free (in MiB).
DCGM_FI_DEV_FB_TOTAL,                      gauge,   Framebuffer memory total (in MiB).
# Clocks / power / thermal
DCGM_FI_DEV_SM_CLOCK,                      gauge,   SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK,                     gauge,   Memory clock frequency (in MHz).
DCGM_FI_DEV_GPU_TEMP,                      gauge,   GPU temperature (in C).
DCGM_FI_DEV_MEMORY_TEMP,                   gauge,   Memory (HBM) temperature (in C).
DCGM_FI_DEV_POWER_USAGE,                   gauge,   Power draw (in W).
DCGM_FI_DEV_ENFORCED_POWER_LIMIT,          gauge,   Enforced power limit (in W).
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION,      counter, Total energy consumption since boot (in mJ).
DCGM_FI_DEV_CLOCKS_EVENT_REASONS,          gauge,   Current reasons for clock events (throttling bitmask).
# Failure detection (spec §5.1, §5.2)
DCGM_FI_DEV_XID_ERRORS,                    gauge,   Value of the last XID error encountered.
DCGM_FI_DEV_ECC_SBE_VOL_TOTAL,             counter, Total volatile single-bit ECC errors.
DCGM_FI_DEV_ECC_DBE_VOL_TOTAL,             counter, Total volatile double-bit ECC errors.
DCGM_FI_DEV_ECC_SBE_AGG_TOTAL,             counter, Total aggregate single-bit ECC errors.
DCGM_FI_DEV_ECC_DBE_AGG_TOTAL,             counter, Total aggregate double-bit ECC errors.
DCGM_FI_DEV_UNCORRECTABLE_REMAPPED_ROWS,   gauge,   Rows remapped due to uncorrectable errors.
DCGM_FI_DEV_CORRECTABLE_REMAPPED_ROWS,     gauge,   Rows remapped due to correctable errors.
DCGM_FI_DEV_ROW_REMAP_FAILURE,             gauge,   Whether row remapping has failed.
DCGM_FI_DEV_ROW_REMAP_PENDING,             gauge,   Whether row remapping is pending.
# Interconnect
DCGM_FI_DEV_PCIE_REPLAY_COUNTER,           counter, Total PCIe retries.
DCGM_FI_PROF_NVLINK_TX_BYTES,              counter, NVLink transmitted bytes.
DCGM_FI_PROF_NVLINK_RX_BYTES,              counter, NVLink received bytes.
# Utilization quality (DCP profiling fields, all 0-1 ratios).
# DCGM_FI_DEV_GPU_UTIL above only says a kernel was resident on the device:
# a GPU starved by its dataloader still reads 100%. These four say whether
# the resident kernel is doing anything - warps executing, tensor cores
# engaged, memory bandwidth moving. The NVLink counters above are already
# DCGM_FI_PROF_* fields, so the exporter's DCP path is proven on any fleet
# running this CSV; these add no new mechanism, only new fields.
# Requires Volta or newer, conflicts with a concurrent Nsight or profiler
# session on the same GPU, and costs a small sampling overhead.
DCGM_FI_PROF_SM_ACTIVE,                    gauge,   Fraction of time at least one warp was active on an SM.
DCGM_FI_PROF_SM_OCCUPANCY,                 gauge,   Fraction of resident warps against the SM maximum.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE,           gauge,   Fraction of time the tensor (HMMA/IMMA) pipe was active.
DCGM_FI_PROF_DRAM_ACTIVE,                  gauge,   Fraction of time the device memory interface was active.
